User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
2,2275080,1.00,2.56,0.00,100.00
2,2560208,1.00,2.41,0.00,100.00
3,2475861,0.97,2.27,100.00,0.00
2,2472601,0.98,2.89,0.00,100.00
2,2410293,0.98,2.24,0.00,100.00
2,2206668,1.00,2.66,0.00,100.00
2,2572782,1.00,3.10,100.00,100.00
2,2416819,0.97,2.23,0.00,100.00
2,2237143,1.00,2.74,0.00,100.00
3,2330718,1.00,2.78,0.00,100.00
2,2602122,1.00,2.46,0.00,0.00
2,2526666,1.00,2.85,0.00,0.00
2,2400000,1.00,2.24,100.00,0.00
2,2589524,0.96,2.93,0.00,100.00
2,2368947,1.00,2.89,0.00,100.00
